states,x,y
Andhra Pradesh,-110,-198
Arunachal Pradesh,257,125
Assam,207,73
Bihar,64,57
Chhattisgarh,34,-55
Goa,-194,-199
Gujarat,-264,-8
Haryana,-154, 145
Himachal Pradesh,-134,225
Jharkhand,47,11
Karnataka,-160,-232
Kerala,-150,-300
Madhya Pradesh,-143,2
Maharashtra,-171,-82
Manipur,259,40
Meghalaya,150,29
Mizoram,239,-4
Nagaland,278,69
Odisha,31,-59
Punjab,-170,180
Rajasthan,-243,92
Sikkim,137,103
Tamil Nadu,-112,-294
Telangana,-97,-136
Tripura,179,-26
Uttarakhand,-94,172
Uttar Pradesh,-86,100
West Bengal,98,-9
